Tignes,0,7.7599999999999998
Tignes,5,4.8600000000000003
Tignes,10,3.6699999999999999
Tignes,15,3.5499999999999998
Tignes,20,5.3300000000000001
Tignes,25,5.3300000000000001
Tignes,30,6.1200000000000001
Tignes,35,6.7699999999999996
Tignes,40,9.6899999999999995
Tignes,45,11.380000000000001
Tignes,50,11.99
Tignes,55,14.07
Tignes,60,14.220000000000001
Tignes,65,14.94
Tignes,70,14.48
Tignes,75,13.19
Tignes,80,13.09
Tignes,85,12.98
Tignes,90,12.51
Tignes,95,12.01
Tignes,100,10.65
Tignes,105,13.77
Tignes,110,15.51
Tignes,115,19.18
Tignes,120,21.239999999999998
Tignes,125,24.370000000000001
Tignes,130,27.550000000000001
Tignes,135,29.25
Tignes,140,28.059999999999999
Tignes,145,28.079999999999998
Tignes,150,24.370000000000001
Tignes,155,23.010000000000002
Tignes,160,22.300000000000001
Tignes,165,20.109999999999999
Tignes,170,18.07
Tignes,175,18.199999999999999
Tignes,180,18.300000000000001
Tignes,185,18.710000000000001
Tignes,190,19.239999999999998
Tignes,195,20.859999999999999
Tignes,200,22.530000000000001
Tignes,205,22.66
Tignes,210,23.93
Tignes,215,29.329999999999998
Tignes,220,29.690000000000001
Tignes,225,31.899999999999999
Tignes,230,34.170000000000002
Tignes,235,31.620000000000001
Tignes,240,27.739999999999998
Tignes,245,25.100000000000001
Tignes,250,22.850000000000001
Tignes,255,21.309999999999999
Tignes,260,20.48
Tignes,265,20.34
Tignes,270,19.079999999999998
Tignes,275,18.34
Tignes,280,18.010000000000002
Tignes,285,17.75
Tignes,290,17.329999999999998
Tignes,295,15.65
Tignes,300,14.890000000000001
Tignes,305,15.26
Tignes,310,14.18
Tignes,315,13.800000000000001
Tignes,320,12.91
Tignes,325,12.43
Tignes,330,12.07
Tignes,335,10.5
Tignes,340,11.029999999999999
Tignes,345,10.49
Tignes,350,8.1099999999999994
Tignes,355,8.2699999999999996
Tignes,360,7.7599999999999998
Autrans-Prairie,0,4.1600000000000001
Autrans-Prairie,5,4.7000000000000002
Autrans-Prairie,10,5.6200000000000001
Autrans-Prairie,15,6.2800000000000002
Autrans-Prairie,20,5.9000000000000004
Autrans-Prairie,25,4.7199999999999998
Autrans-Prairie,30,4.5800000000000001
Autrans-Prairie,35,4.4800000000000004
Autrans-Prairie,40,4.7199999999999998
Autrans-Prairie,45,4.5800000000000001
Autrans-Prairie,50,5.3799999999999999
Autrans-Prairie,55,5.8700000000000001
Autrans-Prairie,60,6.0899999999999999
Autrans-Prairie,65,6.4500000000000002
Autrans-Prairie,70,6.79
Autrans-Prairie,75,6.7599999999999998
Autrans-Prairie,80,7.0199999999999996
Autrans-Prairie,85,8.1899999999999995
Autrans-Prairie,90,8.5999999999999996
Autrans-Prairie,95,8.9000000000000004
Autrans-Prairie,100,8.4199999999999999
Autrans-Prairie,105,7.5700000000000003
Autrans-Prairie,110,7.0700000000000003
Autrans-Prairie,115,6.9299999999999997
Autrans-Prairie,120,6.7699999999999996
Autrans-Prairie,125,6.6699999999999999
Autrans-Prairie,130,6.1100000000000003
Autrans-Prairie,135,6.1399999999999997
Autrans-Prairie,140,6.04
Autrans-Prairie,145,5.5800000000000001
Autrans-Prairie,150,5.3899999999999997
Autrans-Prairie,155,5.3399999999999999
Autrans-Prairie,160,4.9299999999999997
Autrans-Prairie,165,4.4800000000000004
Autrans-Prairie,170,3.5800000000000001
Autrans-Prairie,175,2.1299999999999999
Autrans-Prairie,180,0.47999999999999998
Autrans-Prairie,185,0.32000000000000001
Autrans-Prairie,190,0.17000000000000001
Autrans-Prairie,195,0.70999999999999996
Autrans-Prairie,200,0.92000000000000004
Autrans-Prairie,205,1.8100000000000001
Autrans-Prairie,210,3.0899999999999999
Autrans-Prairie,215,4.6200000000000001
Autrans-Prairie,220,6.71
Autrans-Prairie,225,8.4499999999999993
Autrans-Prairie,230,9.5600000000000005
Autrans-Prairie,235,10.41
Autrans-Prairie,240,11.199999999999999
Autrans-Prairie,245,11.06
Autrans-Prairie,250,10.630000000000001
Autrans-Prairie,255,12.050000000000001
Autrans-Prairie,260,12.119999999999999
Autrans-Prairie,265,12.619999999999999
Autrans-Prairie,270,13.25
Autrans-Prairie,275,13.859999999999999
Autrans-Prairie,280,13.5
Autrans-Prairie,285,14.220000000000001
Autrans-Prairie,290,14.390000000000001
Autrans-Prairie,295,14.119999999999999
Autrans-Prairie,300,13.32
Autrans-Prairie,305,12.380000000000001
Autrans-Prairie,310,11.82
Autrans-Prairie,315,10.789999999999999
Autrans-Prairie,320,9.9299999999999997
Autrans-Prairie,325,7.9699999999999998
Autrans-Prairie,330,6.96
Autrans-Prairie,335,6.3700000000000001
Autrans-Prairie,340,4.6900000000000004
Autrans-Prairie,345,3.7200000000000002
Autrans-Prairie,350,3.98
Autrans-Prairie,355,4.2400000000000002
Autrans-Prairie,360,4.1600000000000001
Autrans-Retenue d'eau,0,8.1999999999999993
Autrans-Retenue d'eau,5,8.1999999999999993
Autrans-Retenue d'eau,10,8.1999999999999993
Autrans-Retenue d'eau,15,8.1999999999999993
Autrans-Retenue d'eau,20,8.5399999999999991
Autrans-Retenue d'eau,25,8.6500000000000004
Autrans-Retenue d'eau,30,8.5399999999999991
Autrans-Retenue d'eau,35,8.3499999999999996
Autrans-Retenue d'eau,40,8.4600000000000009
Autrans-Retenue d'eau,45,8.7200000000000006
Autrans-Retenue d'eau,50,8.7799999999999994
Autrans-Retenue d'eau,55,9.5399999999999991
Autrans-Retenue d'eau,60,9.8399999999999999
